Front,Back
"Multidimensional Gas Pricing","**Upgrade: The Surge (Resource Optimization)**

Separate gas pricing dimensions for different resource types (computation, storage, bandwidth) instead of single gas price.

**Problem it solves:**
• Enables more efficient resource allocation and pricing
• Treats different blockchain resources separately for optimal utilization
• Prevents resource contention and improves overall efficiency

**Current status:** Research phase with complexity concerns. Challenge is protocol complexity and EVM compatibility.

**Technical details:** Multiple gas dimensions with separate pricing curves for different resource types, enabling more precise resource management."

"Portal Network","**Upgrade: The Purge (Distributed Storage)**

Ethereum-native distributed storage network for serving historical blockchain data after history expiry implementation.

**Problem it solves:**
• Provides decentralized access to historical data without full node storage
• Ensures archival data remains accessible after pruning
• Enables light client sync with historical data availability

**Current status:** Development phase as alternative to torrent solutions. Challenges include network bootstrapping and reliable data availability.

**Technical details:** P2P network storing and serving pruned historical data with cryptographic proofs for data integrity."

"Sync Committees","**Upgrade: The Merge (Light Client Support)**

Specialized groups of validators that sign block headers to enable light client verification, rotated every 27 hours.

**Problem it solves:**
• Provides cryptographic proof of chain validity for light clients
• Enables secure verification without full validation
• Supports mobile and browser-based blockchain access

**Current status:** Active since Merge with 512 validators per committee. May be removed once SNARKs can replace their functionality.

**Technical details:** Committee of validators providing aggregate signatures on beacon block headers for light client consumption."

"Inactivity Leak","**Upgrade: The Merge (Consensus Recovery)**

Mechanism that reduces inactive validator balances to recover from situations where >1/3 of validators are offline.

**Problem it solves:**
• Ensures network can recover and maintain finality during major validator outages
• Prevents deadlock if many validators drop offline simultaneously
• Maintains chain liveness under extreme circumstances

**Current status:** Active safety mechanism in proof-of-stake consensus. Challenge is calibrating leak rate for various failure scenarios.

**Technical details:** Gradually reduces finality threshold when >1/3 validators are offline, allowing remaining validators to achieve finality."

"Precompiles","**Upgrade: The Splurge (Cryptographic Efficiency)**

Native contract implementations for computationally intensive operations, executed outside the EVM for efficiency.

**Problem it solves:**
• Provides efficient execution for complex cryptographic operations
• Lowers gas costs for privacy and ZK applications
• Makes expensive operations practical on Ethereum

**Current status:** Various precompiles being added/removed with ongoing benchmarking and security audits. Challenge is balancing functionality with complexity.

**Technical details:** Built-in contracts for operations like elliptic curve operations, hashing, and cryptographic primitives."

"Slashing","**Upgrade: The Merge (Economic Security)**

Penalty mechanism that destroys staked ETH for malicious or incorrect validator behavior to maintain network security.

**Problem it solves:**
• Provides economic incentive for validators to behave honestly
• Enforces protocol rules through financial penalties
• Maintains consensus security through crypto-economic guarantees

**Current status:** Active in proof-of-stake consensus with defined slashing conditions. Challenge is balancing penalties with legitimate operational mistakes.

**Technical details:** Automated penalties for provable misbehavior like double-signing or contradictory votes, with graduated penalty scales."

"Validator Queue","**Upgrade: The Merge (Network Stability)**

System managing validator entries and exits to maintain network stability and prevent rapid stake changes.

**Problem it solves:**
• Prevents rapid changes in validator set that could destabilize consensus
• Manages network capacity and validator onboarding
• Maintains predictable validator participation rates

**Current status:** Active with current entry/exit limits. Challenge is balancing accessibility with network stability requirements.

**Technical details:** Queue system with rate limits for validator activation and exit, ensuring gradual changes to the validator set."

"Erasure Coding","**Upgrade: The Surge (Data Availability)**

Technique that distributes large data by splitting it with erasure codes, with each piece stored on different nodes for redundancy.

**Problem it solves:**
• Enhances robustness of blob storage and sharded data
• Enables data recovery even if some nodes drop out
• Provides fault tolerance for distributed data storage

**Current status:** Already used for blob data availability, planned for broader historical data storage applications.

**Technical details:** Mathematical encoding that allows data reconstruction from partial pieces, used in both blob DA and historical data storage."

"Finality","**Upgrade: The Merge (Consensus Guarantee)**

Cryptographic guarantee that blocks cannot be altered, achieved through supermajority validator agreement in proof-of-stake.

**Problem it solves:**
• Provides certainty that transactions are permanent and irreversible
• Enables safe transaction settlement and economic finality
• Prevents long-range attacks and chain reorganizations

**Current status:** Currently takes ~15 minutes with 2/3 validator agreement, target is 12 seconds with Single-Slot Finality.

**Technical details:** Achieved through Casper FFG finality gadget with crypto-economic penalties for attacking finalized blocks."
