"Verifiable Delay Functions (VDFs)","Upgrade: The Splurge (randomness). VDFs are functions that require *sequential work* to evaluate and can be efficiently verified:contentReference[oaicite:148]{index=148}. For example, iterated hashing that takes a known time to compute, then proven by a SNARK. *Solves:* Provides unbiased on-chain randomness that cannot be manipulated beyond trivial (RANDAO has 1-bit bias per proposer):contentReference[oaicite:149]{index=149}. This improves fairness for randomness-dependent tasks (validator selection, lotteries). *Status:* Research; no ideal VDF found yet:contentReference[oaicite:150]{index=150}. Deployment would increase complexity slightly but is not required (broken VDF falls back to RANDAO)."
"Encrypted Mempools","Upgrade: The Scourge (block builder designs). Transactions are broadcast in encrypted form with validity proofs:contentReference[oaicite:151]{index=151}. Builders include them in blocks still encrypted, then the contents are revealed later (using threshold decryption or delay decryption):contentReference[oaicite:152]{index=152}. *Solves:* Prevents frontrunning and unfair MEV by hiding transactions from block builders until after ordering. *Status:* Under active research. Key challenges: ensuring timely reveal of each tx; two main approaches are threshold decryption and VDF-based delay:contentReference[oaicite:153]{index=153}."
"Trustless L2 Proof Systems","Upgrade: The Surge (L2 scaling). Ensuring rollups (both optimistic and ZK) have **fully trustless** fraud/validity proofs. Rollups should only accept *valid* blocks enforced by proofs, without central overrides:contentReference[oaicite:154]{index=154}. *Solves:* Eliminates central “security councils” for rollup exit security. Right now most rollups have stage 1 setups (partial trust). The goal is *Stage 2*: no unilateral control by any actor, only intervention on provable bugs:contentReference[oaicite:155]{index=155}. *Status:* Ongoing: some rollups (e.g. Fuel, early ZK rollups) have achieved trustless systems. Research in formal verification of provers and multi-prover schemes (2-of-3 proofs) is active:contentReference[oaicite:156]{index=156}:contentReference[oaicite:157]{index=157}."
"Chain-specific Addresses","Upgrade: The Surge (cross-chain usability). Encode the chain/network ID into Ethereum addresses. For example, a user’s address might include a domain (L1, Optimism, Arbitrum, etc.) so wallets know where funds reside. *Solves:* Simplifies sending assets across L1/L2: sending “to” that address automatically routes through appropriate bridge. No longer need to manage separate addresses per network. *Status:* Proposed concept; implementation would be in wallet software and standards. Improves UX but requires community and EIP adoption."
"Peer-to-Peer DAS (PeerDAS)","Upgrade: The Surge (sharding). In PeerDAS, blob data (large L2 data objects) is distributed via multiple P2P subnets:contentReference[oaicite:160]{index=160}. Each blob is coded into many pieces with erasure codes; nodes sample random pieces across different subnets. *Solves:* Allows Ethereum to support huge blocks (blobs) – e.g. 8–16 blobs per slot (~463–926 TPS):contentReference[oaicite:161]{index=161} – while still ensuring data availability without centralized sequencers. *Status:* Under development. PeerDAS could eventually reach ~58,000 TPS (at 16 MB/slot with sampling):contentReference[oaicite:162]{index=162}. Key challenge: building robust P2P networks and ensuring safety of sampling."
"EIP-4844 (Blobs)","Upgrade: The Surge (activated in 2023). Introduced **blobs**: large data objects posted in blocks for L2 rollup data:contentReference[oaicite:163]{index=163}. Each blob is *committed* on-chain (via KZG) but not executed. *Solves:* Dramatically increases L1 data bandwidth (currently ~375kB/12s); rollups can now post much more data per block (currently ~46 TPS vs ~7000 after sharding):contentReference[oaicite:164]{index=164}. *Status:* Live (Dencun hard fork). Ongoing: planning more blob capacity with DAS."
"Data Compression","Upgrade: The Surge (L2 scaling). Techniques to **reduce bytes per transaction** posted on L1:contentReference[oaicite:165]{index=165}. Examples: simple run-length encoding of zero bytes, BLS signature aggregation (many signatures into one):contentReference[oaicite:166]{index=166}, replacing repeated 20-byte addresses with 4-byte pointers, and compact numeric formats:contentReference[oaicite:167]{index=167}. *Solves:* At 16 MB blobs, raw ERC-20 transfers allow only ~7400 TPS:contentReference[oaicite:168]{index=168}. Compression could multiply throughput (e.g. aggregation turns many signatures into one). *Status:* Research/prototyping. Requires contract changes (e.g. ERC-4337 supports BLS wallet) and minor protocol support. Trade-offs include complexity vs bandwidth gains:contentReference[oaicite:169]{index=169}."
"Generalized Plasma","Upgrade: The Surge (L2 scaling for high-volume payments). An off-chain chain where the operator publishes only the *Merkle root* of each block on L1:contentReference[oaicite:170]{index=170}. Users track their own account updates via Merkle proofs and can exit any time. With **SNARKs** verifying blocks, Plasma can handle all asset types with instant withdrawals:contentReference[oaicite:171]{index=171}. *Solves:* Ultra-high TPS for simple transfers (e.g. stablecoin payments) without posting full data on L1. Even if DA fails, users exit with proof. *Status:* Pure Plasma saw exit delays, but SNARK-based designs (“Plasma with validity proofs”) are being researched. These would let users withdraw immediately and prevent operator fraud more cheaply:contentReference[oaicite:172]{index=172}."
"Parallel Proposers (MCP/BRAID)","Upgrade: The Scourge (block building). Instead of one block proposer, use *k* parallel proposers (Multiple Concurrent Proposers):contentReference[oaicite:173]{index=173}. For example, BRAID protocol has k validators each propose a block list; the final block order is chosen deterministically (e.g. sort by highest fees):contentReference[oaicite:174]{index=174}. *Solves:* Diversifies block production, so no single builder has full control. Helps small validators produce blocks. *Status:* Proposal stage (research by Vitalik and others). More complex than FOCIL, but offers another point on spectrum between full decentralization and specialization:contentReference[oaicite:175]{index=175}."
"Faster Confirmations","Upgrade: The Merge (consensus improvements). Reduce *slot time* and allow real-time pre-confirmations. Two approaches: decrease block time (e.g. from 12s to 4–8s):contentReference[oaicite:176]{index=176}, and/or let the current proposer publish instant signed “pre-confirmation” messages as they see txns:contentReference[oaicite:177]{index=177}. *Solves:* Users see quicker feedback (e.g. “your txn will be in next block”):contentReference[oaicite:178]{index=178}, improving UX. *Status:* Under study. Reducing slot time risks network overhead (latency limits); pre-confirmations trade worst-case latency. Both methods require careful incentive/slashing design:contentReference[oaicite:179]{index=179}."
"Two-tier Staking","Upgrade: The Merge (consensus). Introduce **two classes of validators**: a *high-stake tier* (e.g. 32 ETH) that participates in economic finality, and a *low-stake tier* (e.g. 1 ETH) with limited duties:contentReference[oaicite:180]{index=180}. Low-tier validators may delegate, or provide attestations, or generate inclusion lists. *Solves:* Lets small stakers join with low stakes while preserving strong finality guarantees using only the high-tier votes. *Status:* Proposed (cf. Rainbow DAO). Complex to specify rights of low-tier, but conceptually could be enacted in Merge-era upgrades:contentReference[oaicite:181]{index=181}."
"Inactivity Leak","Upgrade: The Merge (consensus). A mechanism already in Ethereum where, if >1/3 validators drop offline, the finality threshold gradually reduces, allowing finality to resume. *Solves:* Prevents a deadlock if many validators go offline at once by permitting the chain to keep finalizing with fewer signatures (though at higher risk). *Status:* Active (Ethereum has an inactivity leak built-in)."
"History Expiry","Upgrade: The Purge (state pruning). Limits how long nodes store old data. Currently, consensus data ~6 months, blobs ~18 days; EIP-4444 proposes dropping execution blocks/receipts older than ~1 year:contentReference[oaicite:182]{index=182}. *Solves:* Keeps node storage size from growing unboundedly (today ~1.1 TB including ~800 GB history):contentReference[oaicite:183]{index=183}. *Status:* EIP-4444 is in progress; once a robust p2p distribution (torrents/Portal network) exists, clients will enforce the limit:contentReference[oaicite:184]{index=184}:contentReference[oaicite:185]{index=185}."
"State Expiry","Upgrade: The Purge (future research). Various designs to drop unused state over time. For example, *partial state expiry* splits state into chunks, only storing actively accessed chunks:contentReference[oaicite:186]{index=186}. *Address-period expiry* ideas have each address’s data expire unless frequently used:contentReference[oaicite:187]{index=187}. *Solves:* Prevents Ethereum state (account balances, storage) from growing ~50 GB/year forever. *Status:* Experimental (EIP-7736 partial expiry, address-expiry research). Very complex and still unsolved at scale."
"Stateless Clients","Upgrade: The Verge (validation model). A stateless client verifies blocks without storing full state: each block comes with witness proofs of the state slots accessed:contentReference[oaicite:188]{index=188}. *Solves:* A node needs only a few GB of state (all rest can be pruned):contentReference[oaicite:189]{index=189}. This complements Verkle trees. *Status:* Visionary; requires Verge tech (Verkle or STARK trees). Not deployed yet, but guides protocol design (e.g. gas costs for state access)."
"Inclusion Lists","Upgrade: The Scourge (block construction). A validator (proposer) composes an **inclusion list** of transactions for the next block:contentReference[oaicite:190]{index=190}. The chosen block builder must include those txns (though they can reorder and add others). *Solves:* Returns transaction selection to stakers (instead of builders), preventing complete censorship by builders. It’s the basis of APS/FOCIL systems. *Status:* EIP-7547 describes inclusion lists; APS/FOCIL are extensions. Partially used already (MEV-Boost has similar features)."
"Portal Network","Upgrade: The Purge (data availability). A distributed P2P network for storing Ethereum data (blocks, state) off-chain. For example, after EIP-4444 prunes history, Portal nodes hold requested old data and provide proofs. *Solves:* Ensures archival data remains accessible without every node storing it, making light client sync possible. *Status:* Being built (EF’s Portal network). Key for enabling history expiry; could be integrated into client sync."
"Log Bloom Filter Removal","Upgrade: The Purge (cleanup). Drop the 256-byte bloom filter used in event logs:contentReference[oaicite:191]{index=191}. *Solves:* Simplifies block headers and gas costs: bloom filters add consensus overhead but are too slow to use (browsers and clients don’t actually utilize them):contentReference[oaicite:192]{index=192}. Alternative indexing (e.g. off-chain or SNARK-based logs) can replace the bloom. *Status:* Proposed (EIP-7668 for bloom removal). Would require adjusting log-related gas costs."
"Sync Committee Removal","Upgrade: The Purge (consensus cleanup). Remove the Proof-of-Stake sync committee (used for light-client proofs) once we can verify consensus via SNARKs:contentReference[oaicite:193]{index=193}. *Solves:* Cuts protocol complexity: sync committees (160 validators every 2 days) won’t be needed if zk-proof light clients are practical. *Status:* Long-term goal. Ethereum currently still has sync committees; this would happen after Verge technologies mature."
"Mixed-Endianness Removal","Upgrade: The Purge (data consistency). Make all of Ethereum use one endianness (likely big-endian):contentReference[oaicite:194]{index=194}. Today EVM is big-endian, consensus (beacon) is little-endian. *Solves:* Simplifies implementations and cross-layer code. *Status:* Coordination-only change (no hard fork of EVM needed if consensus switches). Expected eventually."
"Gas Unobservability","Upgrade: The Purge (EVM format). In EOF, contracts can no longer read the remaining gas (the previous GAS opcode always returns 0). *Solves:* Prevents contracts from depending on gas left. This makes forks and future EVM versions easier (no contract uses gas as a control). *Status:* Already part of EOF; requires making EOF mandatory (and have old contracts adapted, though none use GAS for logic typically):contentReference[oaicite:195]{index=195}."
"Precompile Removals","Upgrade: The Purge (cleanup). Remove underused EVM precompiles (e.g. identity, RIPEMD-160, elliptic-curve mods):contentReference[oaicite:196]{index=196}. *Solves:* Reduces code complexity and consensus risk from rarely used code. Their functionality can be replaced by contract code if needed (albeit at higher gas). *Status:* First steps: identity precompile EIP exists; more removals can follow. No backward-compat problems for apps not using them."
"Data Format Harmonization","Upgrade: The Purge (simplification). Use a single encoding for all Ethereum data:contentReference[oaicite:197]{index=197}. E.g., store execution and consensus state in one SSZ-based tree, commit everything via the same scheme (replacing Merkle Patricia/KZG mixtures):contentReference[oaicite:198]{index=198}. *Solves:* Eases proofs and data availability: one can build universal light-client and erasure-coding routines. *Status:* Visionary; pieces are moving (RLP→SSZ, consensus in SSZ already). Full unification is long-term."
"KZG Commitments","Upgrade: The Purge (sharding). Polynomial commitment scheme (Kate commitments) used to commit to blobs (shard data) on-chain. *Solves:* Allows very large data (hundreds of KB) to be posted with a short on-chain commitment. Vital for data availability sampling in danksharding. *Status:* Already in use (EIP-4844 blobs use KZG). No issues besides trusting the setup; future research on alternatives (post-quantum commitments) is noted:contentReference[oaicite:199]{index=199}."
"Beacon Committee Removal","Upgrade: The Purge (consensus). Remove validator committees (used originally for sharding/data availability):contentReference[oaicite:200]{index=200}. *Solves:* Simplifies consensus: sharders (beacon committees) were never fully used (Ethereum uses rollups instead). No need for these special validator committees. *Status:* Code removed or being removed; consensus layer no longer assigns committees for anything new."
"Proposer-Builder Separation (PBS)","Upgrade: The Scourge (block construction). Existing partial scheme: validators propose blocks using payloads from third-party builders (like MEV-Boost):contentReference[oaicite:201]{index=201}. *Solves:* Basic reduction of censorship risk by decoupling validator from content. *Status:* Already in use. APS is seen as the stronger concept (builders handle entire slot):contentReference[oaicite:202]{index=202}."
"Erasure Coding (DA)","Upgrade: The Purge (data availability). Distributes large data by splitting it with erasure codes (each piece stored on different nodes):contentReference[oaicite:203]{index=203}. *Solves:* Enhances robustness of historic block storage and sharded data: even if some peers drop out, the data can be recovered from coded pieces. *Status:* Already used for blob data availability. Planned for broader history (reuse blob erasure-coding for old blocks):contentReference[oaicite:204]{index=204}."
"Proof of Custody","Upgrade: The Purge (history availability). Validators are required to prove periodically that they store specific blockchain data chunks:contentReference[oaicite:205]{index=205}. *Solves:* Ensures nodes really keep history (as opposed to just ignoring it). This can increase trust in distributed archival storage. *Status:* Proposed (e.g. Dankrad Feist’s idea); implementation is non-trivial and not yet activated."
"Stateless Gas Changes (EIP-4762)","Upgrade: The Purge. Harmonize gas costs for state operations to support stateless clients. For example, charge for loading each memory chunk:contentReference[oaicite:206]{index=206}. *Solves:* Aligns gas with true resource use for state proofs (as block preimage sizes change with Verkle). *Status:* EIP drafted (4762); part of Purge feature set for simplification."
"Slot Time Reduction","Upgrade: The Merge (consensus). Shorten block time (e.g. from 12s to 8s or 4s):contentReference[oaicite:207]{index=207}. *Solves:* Reduces confirmation latency. *Status:* Possible, but very tight networking needed. Short slots reduce safety margin against network delays:contentReference[oaicite:208]{index=208}."
"Pre-confirmations (Proposer Commitments)","Upgrade: The Merge (consensus). Allow current proposers to broadcast immediate inclusion commitments (“I include tx X”) during the slot:contentReference[oaicite:209]{index=209}. *Solves:* Improves average-case inclusion time (txn confirmed in 0.5s instead of up to slot time). Requires slashing/conflict resolution rules. *Status:* Research stage (e.g. “Based Preconfirmations” on EthResearch); needs incentive design."


Front,Back
"Data Availability Sampling (DAS)","Upgrade: The Surge<br>What is it? A technique that allows nodes to verify data availability efficiently without downloading all data by sampling random portions and using statistical proofs.<br>Problem it solves: Enables higher transaction throughput by allowing nodes to verify data availability without storing entire datasets, critical for scaling to 100k+ TPS.<br>Current status & challenges: PeerDAS is in development and testing phase. Challenges include safety property formalization and network testing under heavy load.<br>[Diagrams showing sampling patterns and network data distribution would aid understanding]"
"PeerDAS (Peer Data Availability Sampling)","Upgrade: The Surge<br>What is it? A specific implementation of 1D data availability sampling using battle-tested P2P network components to distribute and verify blob data.<br>Problem it solves: Increases blob count target from 3 to 16, providing 463-926 TPS capacity for rollups while maintaining network security.<br>Current status & challenges: Immediate next step in Ethereum roadmap, actively being implemented. Challenge is progressive scaling while maintaining network safety.<br>[Network topology diagrams showing peer sampling patterns would be helpful]"
"Blobs","Upgrade: The Surge<br>What is it? Temporary data storage mechanism (approximately 125 kB per slot) introduced in Dencun upgrade, providing dedicated data availability bandwidth for rollups.<br>Problem it solves: Provides much cheaper data availability for rollups compared to calldata, reducing L2 transaction costs significantly.<br>Current status & challenges: Live since March 2024 with 3 blobs per slot, increasing to 6 in Pectra upgrade. Challenge is scaling to 16 MB per slot target.<br>[Data structure diagrams showing blob composition and lifecycle would clarify the concept]"
"Rollup Data Compression","Upgrade: The Surge<br>What is it? Techniques to reduce the size of transaction data posted to L1 by rollups, maximizing efficiency within data availability constraints.<br>Problem it solves: Maximizes transaction throughput within fixed data availability limits by reducing redundant data and optimizing encoding.<br>Current status & challenges: Ongoing research and development across multiple rollup teams. Challenge is balancing compression efficiency with verification speed.<br>[Compression ratio comparisons and data flow diagrams would be beneficial]"
"Native Rollups","Upgrade: The Surge<br>What is it? Creating multiple parallel instances of the EVM with flexible parameters, essentially built-in Layer 2 scaling at the protocol level.<br>Problem it solves: Enables L1 scaling through parallelization without increasing worst-case computational risks or breaking composability.<br>Current status & challenges: Conceptual/research phase. Major challenge is maintaining security and decentralization while scaling.<br>[Architecture diagrams showing parallel EVM instances would help visualization]"
"Multidimensional Gas Pricing","Upgrade: The Surge<br>What is it? Separate gas pricing dimensions for different resource types (computation, storage, bandwidth) instead of single gas price.<br>Problem it solves: Enables more efficient resource allocation and pricing by treating different blockchain resources separately.<br>Current status & challenges: Research phase with complexity concerns. Challenge is protocol complexity and EVM compatibility.<br>[Gas consumption matrices and pricing model diagrams would aid understanding]"
"Cross-L2 Interoperability","Upgrade: The Surge<br>What is it? Standardized protocols enabling seamless interaction between different Layer 2 solutions, creating unified user experience.<br>Problem it solves: Addresses fragmentation across the Layer 2 ecosystem, making Ethereum feel like one unified system rather than separate chains.<br>Current status & challenges: Various protocols in development (ERC-7683, RIP-7755). Challenges include standardization and user experience optimization.<br>[Cross-chain transaction flow and protocol interaction diagrams would be helpful]"
"FOCIL (Fork-Choice-Enforced Inclusion Lists)","Upgrade: The Scourge<br>What is it? A mechanism where a committee of validators creates mandatory inclusion lists of transactions that block builders must include, preventing censorship.<br>Problem it solves: Addresses centralization in block construction where two actors control ~88% of Ethereum block building, ensuring censorship resistance.<br>Current status & challenges: EIP-7805 in development. Challenges include optimizing for blob transactions and making it stateless-validator friendly.<br>[Committee structure and transaction inclusion flow diagrams would clarify the process]"
"APS (Auction Proposer Selection)","Upgrade: The Scourge<br>What is it? An in-protocol auction mechanism where the final block proposer is chosen by auction, maintaining economic efficiency while preserving censorship resistance.<br>Problem it solves: Balances economic efficiency with censorship resistance by combining with inclusion lists (FOCIL + APS).<br>Current status & challenges: Combined with FOCIL as integrated proposal. Challenge is designing optimal auction mechanisms.<br>[Auction process and authority distribution diagrams would be beneficial]"
"BRAID (Multiple Concurrent Proposers)","Upgrade: The Scourge<br>What is it? A system where multiple parallel proposers generate transaction lists simultaneously, then use deterministic algorithms to create final blocks.<br>Problem it solves: Distributes block production among many actors, avoiding the split between low and high economies-of-scale roles.<br>Current status & challenges: Early research phase. Requires encrypted mempools and is vulnerable to strategy-stealing attacks without privacy.<br>[Parallel proposer architecture and transaction merging diagrams would help]"
"MEV (Maximal Extractable Value)","Upgrade: The Scourge<br>What is it? Revenue extracted from on-chain transactions through reordering, insertion, and selection, including DEX arbitrage and sandwich attacks.<br>Problem it solves: The Scourge proposes making MEV revenue transparent and capturing it at protocol level to reduce centralization.<br>Current status & challenges: Active issue causing centralization - MEV represents 24% of validator rewards. Challenge is unstable income distribution.<br>[MEV extraction process and value flow diagrams would illustrate the concept]"
"MEVBoost","Upgrade: The Scourge<br>What is it? Extra-protocol proposer-builder separation system where validators auction block construction to specialized builders who maximize MEV.<br>Problem it solves: Originally intended to democratize MEV access but has led to centralization concerns.<br>Current status & challenges: Widely adopted (39% of blocks use Flashbots relay), but two builders control 88% of blocks, creating censorship risks.<br>[Current validator-builder separation architecture would be helpful to visualize]"
"Encrypted Mempool","Upgrade: The Scourge<br>What is it? Privacy-preserving transaction pool where transaction contents are hidden until block inclusion, preventing front-running attacks.<br>Problem it solves: Essential for BRAID and other multi-proposer schemes to prevent strategy-stealing and exploitation.<br>Current status & challenges: Research phase requiring robust and simple design that's both secure and practically implementable.<br>[Transaction privacy flow and revelation timing diagrams would clarify]"
"Inclusion Lists","Upgrade: The Scourge<br>What is it? Lists of transactions that must be included in blocks, created by validator committees to prevent censorship by dominant builders.<br>Problem it solves: Ensures important transactions cannot be indefinitely delayed by censoring block builders.<br>Current status & challenges: Multiple variants being researched (FOCIL, COMIS). Challenge is preventing MEV extraction at inclusion list level.<br>[Inclusion list creation and enforcement process diagrams would be beneficial]"
"Verkle Trees","Upgrade: The Verge<br>What is it? A tree structure using elliptic curve-based vector commitments to enable much more compact proofs compared to current Merkle Patricia trees.<br>Problem it solves: Reduces proof sizes from potentially 300MB to a few hundred kilobytes, enabling stateless validation and mobile verification.<br>Current status & challenges: Code is fairly mature but faces quantum vulnerability concerns. Complex to implement with SNARKs due to 256-bit operations.<br>[Tree structure diagrams showing proof size comparisons would be essential]"
"Stateless Clients","Upgrade: The Verge<br>What is it? Blockchain nodes that can verify blocks without storing the entire Ethereum state, using cryptographic witnesses instead.<br>Problem it solves: Reduces storage requirements from hundreds of gigabytes to a few gigabytes, enabling mobile device validation.<br>Current status & challenges: Under active development requiring fundamental protocol changes. Challenge is witness size and verification overhead.<br>[Architecture diagrams showing stateless vs stateful client requirements would help]"
"Witness Data","Upgrade: The Verge<br>What is it? Cryptographic proofs included with each block containing specific values accessed and cryptographic proof of correctness.<br>Problem it solves: Enables stateless validation by providing necessary state data without requiring full state storage.<br>Current status & challenges: Specification in progress via EIP-4762. Challenges include witness size optimization and verification overhead.<br>[Block structure diagrams showing witness data inclusion would be helpful]"
"SNARKs (Succinct Non-Interactive Arguments of Knowledge)","Upgrade: The Verge<br>What is it? Cryptographic proofs allowing verification of computation correctness without revealing inputs, with compact proof sizes (~288 bytes).<br>Problem it solves: Enables ultra-efficient verification of EVM execution and consensus, potentially on mobile devices.<br>Current status & challenges: Expanding scope beyond original Verkle focus. Challenges include trusted setup requirements and quantum vulnerability.<br>[Proof generation and verification flow diagrams would clarify the process]"
"STARKs (Scalable Transparent Arguments of Knowledge)","Upgrade: The Verge<br>What is it? Zero-knowledge proofs that don't require trusted setup, using publicly verifiable randomness and quantum-resistant cryptography.<br>Problem it solves: Provides quantum-resistant alternative to SNARKs with better scalability for large datasets.<br>Current status & challenges: Being considered as alternative to Verkle trees. Challenges include larger proof sizes (45,000 bytes) and higher verification costs.<br>[Comparison charts showing SNARK vs STARK trade-offs would be beneficial]"
"STARKed Binary Hash Trees","Upgrade: The Verge<br>What is it? Alternative to Verkle trees using STARK proofs with binary tree structure and traditional hash functions.<br>Problem it solves: Provides quantum-resistant stateless validation without elliptic curve vulnerabilities.<br>Current status & challenges: Under consideration as Verkle alternative. Challenges include computational intensity and specialized hardware requirements.<br>[Tree structure comparisons would help visualize the differences]"
